Real=1/Fake=0,AWL,ASL,NOW,NVB,NAJ,NPV,NST,CDV,NTP,TPR
0,4.67,16.6,83,12,6,0,5,0.89,5,0.06
0,4.07,18.17,109,15,8,2,6,0.95,4,0.04
0,3.61,16.0,112,15,4,4,7,0.86,1,0.01
0,4.39,15.25,61,9,7,0,4,0.92,1,0.02
0,4.5,14.8,74,10,9,0,5,0.9,0,0.0
0,4.21,11.67,105,15,5,6,9,0.87,2,0.02
0,4.31,13.86,97,19,6,4,7,0.8,1,0.01
0,3.84,13.88,111,13,7,0,8,0.75,1,0.01
0,4.0,8.56,77,5,8,1,9,0.83,1,0.01
0,4.6,16.0,96,10,6,4,6,0.94,0,0.0
0,4.19,12.0,108,19,13,0,9,0.73,3,0.03
0,4.37,15.0,75,7,6,0,5,0.89,3,0.04
1,4.74,95.0,95,9,10,2,1,0.81,4,0.04
1,4.22,15.53,233,23,25,0,15,0.79,9,0.04
1,4.91,13.21,185,18,39,0,14,0.81,4,0.02
1,4.16,17.5,70,10,7,0,4,0.86,0,0.0
1,4.22,10.57,74,10,6,0,7,0.96,0,0.0
1,4.22,9.0,36,6,4,0,4,1.0,0,0.0
1,3.94,29.33,176,22,19,0,6,0.77,3,0.02
1,4.81,10.55,116,17,15,4,11,0.96,0,0.0
1,4.72,6.0,36,1,7,0,6,0.9,2,0.06
1,4.69,9.67,58,4,8,0,6,0.89,2,0.03
1,4.5,17.0,68,5,12,0,4,0.83,1,0.01
1,4.37,9.8,49,5,8,2,5,0.86,2,0.04
0,4.02,12.5,50,8,5,0,4,0.81,0,0.0
0,4.34,14.75,59,5,6,0,4,0.86,0,0.0
0,4.34,21.67,65,6,8,0,3,0.75,0,0.0
0,4.64,10.0,50,4,4,2,5,0.95,0,0.0
0,4.53,13.75,55,6,6,0,4,0.81,0,0.0
1,4.2,19.86,139,15,17,1,7,0.88,2,0.01
1,4.24,14.17,85,11,9,0,6,0.89,0,0.0
1,4.31,17.17,103,12,9,4,6,0.82,1,0.01
1,4.78,25.0,50,5,7,0,2,0.92,1,0.02
1,4.35,24.0,72,7,7,0,3,0.93,0,0.0
0,4.25,11.83,71,12,5,3,6,0.93,1,0.01
0,3.97,15.8,79,9,11,0,5,0.65,1,0.01
0,4.38,17.25,69,7,7,0,4,0.75,0,0.0
0,3.91,15.0,45,3,5,0,3,0.82,1,0.02
